NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Decibels Vendanges,,Île-de-France,Paris,Paris,75018,Musique,Après-saison (6 septembre - 31 décembre),"48.8927350746, 2.34871193387"
Festival d'Automne à Paris,,Île-de-France,Paris,Paris,75001,Pluridisciplinaire,Après-saison (6 septembre - 31 décembre),"48.8626304852, 2.33629344655"
Festival du conte de Saurat,,Occitanie,Ariège,Saurat,9400,Spectacle vivant,Saison (21 juin - 5 septembre),"42.883738441, 1.50479848751"
Salon du livre la ruche des mots,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Riez,4500,"Livre, littérature",Saison (21 juin - 5 septembre),"43.8284587474, 6.08237819985"
Marvellous Island Festival,,Île-de-France,Seine-et-Marne,Torcy,77200,Musique,Saison (21 juin - 5 septembre),"48.8532553496, 2.65123227423"
Nuit du trad,,Occitanie,Ariège,Saint-Girons,9200,Spectacle vivant,Après-saison (6 septembre - 31 décembre),"42.9752923045, 1.15326595533"
Tartine festival,,Auvergne-Rhône-Alpes,Savoie,Grand-Aigueblanche,73260,Musique,Après-saison (6 septembre - 31 décembre),"45.5198646844, 6.51470725301"
Salon du livre libanais francophone,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Aix-en-Provence,13100,"Livre, littérature",Avant-saison (1er janvier - 20 juin),"43.5360708378, 5.39857444582"
Poétik park,,Corse,Corse-du-Sud,Ajaccio,2000,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"41.9347926638, 8.70132275974"
Fantasy,Départementale,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Vallauris Golfe-Juan,6220,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.5766472999, 7.05836612893"
7 bis chemin de traverse,,Auvergne-Rhône-Alpes,Ain,Bourg-en-Bresse,1000,Musique,Avant-saison (1er janvier - 20 juin),"46.2051520382, 5.24602125501"
Les Nuits & les Jours de Querbes,Régionale,Occitanie,Aveyron,Capdenac-Gare,12700,Musique,saison (21 juin - 5 septembre),"44.5596095618, 2.06863929998"
Les Bichoiseries,,Normandie,Orne,Cerisy-Belle-Etoile,61100,Musique,Saison (21 juin - 5 septembre),"48.7831815078, -0.623679681205"
Itinéraires,,Grand Est,Marne,Châlons-en-Champagne,51000,Pluridisciplinaire,Saison (21 juin - 5 septembre),"48.9640892125, 4.37883539725"
Jazz and cheese,,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Chateau-Ville-Vieille,5350,Musique,Saison (21 juin - 5 septembre),"44.7677289666, 6.8000656504"
Assises de la traduction littéraire,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,13200,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.5468692378, 4.66215642574"
